Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),Category
CUBE,CubeSmart,47.37,1.61,3.52%,2.294M,1.255M,10.718B,26.17,Top_Gainers
CVNA,Carvana Co.,136.24,6.31,4.86%,6.834M,4.789M,15.933B,54.71,Top_Gainers
CVS,CVS Health Corporation,59,0.79,1.36%,6.832M,12.699M,74.067B,10.35,Undervalued_growth_stocks
DAL,"Delta Air Lines, Inc.",43.62,-1.37,-3.05%,16.677M,8.431M,28.153B,6.26,"Top_Losers, Most_active, Undervalued_growth_stocks"
DAY,Dayforce Inc,53.02,1.98,3.88%,1.556M,1.861M,8.372B,160.67,Top_Gainers
DKS,"DICK'S Sporting Goods, Inc.",221.65,11.51,5.48%,1.934M,1.087M,18.062B,18.35,Top_Gainers
DNN,Denison Mines Corp.,2.24,-0.04,-1.75%,11.058M,15.806M,1.999B,37.33,Most_active
DNOW,DNOW Inc.,13.54,0.09,0.67%,"4,75,265","8,42,356",1.446B,6.3,Undervalued_growth_stocks
DOCU,"DocuSign, Inc.",56.38,2.09,3.85%,2.424M,2.256M,11.542B,108.42,Top_Gainers
DOLE,Dole plc,12.81,0.14,1.10%,"3,79,391","5,91,250",1.216B,6.31,Undervalued_growth_stocks
DPZ,"Domino's Pizza, Inc.",491.48,18.39,3.89%,"7,05,788","5,06,477",17.143B,32.06,Top_Gainers
EAT,"Brinker International, Inc.",63.76,-1.45,-2.22%,2.654M,1.525M,2.837B,18.92,Undervalued_growth_stocks
ELP,Companhia Paranaense de Energia - COPEL,7.55,0,0.00%,"1,35,950","2,27,659",5.63B,14.52,Undervalued_growth_stocks
ENPH,"Enphase Energy, Inc.",119.34,7.66,6.86%,5.626M,4.089M,16.238B,61.2,Top_Gainers
ERIC,Telefonaktiebolaget LM Ericsson (publ),6.68,0.29,4.54%,36.54M,15.976M,22.476B,,"Top_Gainers, Most_active"
ERO,Ero Copper Corp.,22.82,0.87,3.96%,"3,72,880","3,78,054",2.357B,35.11,Top_Gainers
ET,Energy Transfer LP,16.25,-0.06,-0.37%,11.305M,11.243M,54.785B,14.91,Most_active
ETSY,"Etsy, Inc.",60.5,2.19,3.76%,4.028M,3.418M,7.074B,27.63,Top_Gainers
EURN,Euronav NV,16.31,0,0.00%,"1,56,752","2,78,253",3.168B,2.79,Undervalued_growth_stocks
F,Ford Motor Company,14.03,0.56,4.16%,84.534M,47.995M,55.75B,14.46,"Top_Gainers, Most_active, Undervalued_growth_stocks"
FERG,Ferguson plc,204,8.49,4.34%,1.987M,1.153M,41.13B,22.32,Top_Gainers
FIVN,"Five9, Inc.",43.74,2.02,4.84%,1.505M,1.306M,3.231B,,Top_Gainers
FLMMF,Filo Corp.,20.56,1.32,6.86%,"17,780","37,183",2.691B,,Top_Gainers
FOX,Fox Corporation,33.35,0.1,0.30%,"3,56,469",1.041M,16.115B,10.52,Undervalued_growth_stocks
FOXA,Fox Corporation,35.73,0.09,0.25%,1.532M,2.773M,16.116B,11.27,Undervalued_growth_stocks
FSK,FS KKR Capital Corp.,20.33,0.03,0.15%,"6,60,775",1.278M,5.694B,8.51,Undervalued_growth_stocks
FTRE,Fortrea Holdings Inc.,26,1.25,5.05%,1.865M,1.427M,2.324B,,Top_Gainers
GBDC,"Golub Capital BDC, Inc.",15.84,-0.16,-1.00%,1.648M,1.198M,4.176B,7.8,Undervalued_growth_stocks
GBX,"The Greenbrier Companies, Inc.",45.45,0.33,0.73%,"3,46,023","3,53,085",1.415B,11.93,Undervalued_growth_stocks
GDDY,GoDaddy Inc.,145.33,3.21,2.26%,1.255M,1.863M,20.483B,12.59,Undervalued_growth_stocks
GDRX,"GoodRx Holdings, Inc.",7.71,-0.32,-3.99%,1.52M,1.277M,2.894B,,Top_Losers
GGN,"GAMCO Global Gold, Natural Resources & Income Trust",4.14,0,0.00%,"2,20,793","3,84,345",638.79M,8.45,Undervalued_growth_stocks
GH,"Guardant Health, Inc.",31.07,1.1,3.67%,1.628M,2.095M,3.802B,,Top_Gainers
GM,General Motors Company,49.01,1.08,2.25%,15.702M,13.719M,55.891B,5.98,"Most_active, Undervalued_growth_stocks"
GME,GameStop Corp.,26.05,0.48,1.88%,15.939M,51.606M,11.103B,325.62,Most_active
GMS,GMS Inc.,87.67,3.05,3.60%,"4,48,124","4,06,566",3.476B,12.99,Top_Gainers
GNRC,Generac Holdings Inc.,153.94,5.49,3.70%,1.477M,"9,80,641",9.331B,42.52,Top_Gainers
GNTX,Gentex Corporation,34.34,0.2,0.59%,"8,93,419",1.33M,7.939B,18.17,Undervalued_growth_stocks
GOLD,Barrick Gold Corporation,18.52,0.39,2.15%,22.736M,21.218M,32.534B,22.59,Most_active
GOOG,Alphabet Inc.,186.78,-0.52,-0.28%,14.353M,18.588M,2.297T,28.65,Most_active
GOOGL,Alphabet Inc.,185.07,-0.5,-0.27%,22.774M,25.191M,2.297T,28.43,Most_active
GRAB,Grab Holdings Limited,3.61,0.02,0.56%,12.026M,21.032M,14.27B,,Most_active
GRFS,"Grifols, S.A.",8.26,-0.59,-6.67%,3.44M,1.453M,6.765B,82.6,Top_Losers
GSBD,"Goldman Sachs BDC, Inc.",15.5,-0.03,-0.19%,"4,41,468","6,09,182",1.739B,8.03,Undervalued_growth_stocks
HAL,Halliburton Company,33.94,0.32,0.95%,6.776M,7.291M,30.047B,11.78,Undervalued_growth_stocks
HBAN,Huntington Bancshares Incorporated,13.54,0.08,0.59%,15.291M,17.083M,19.623B,12.2,Most_active
HCM,HUTCHMED (China) Limited,19.4,1.62,9.11%,"2,52,985","1,36,885",3.313B,32.33,Top_Gainers
HGTY,"Hagerty, Inc.",10.97,-0.45,-3.94%,"1,30,191","1,18,730",3.694B,137.12,Top_Losers
HIG,"The Hartford Financial Services Group, Inc.",101.75,0.41,0.40%,1.019M,1.535M,30.093B,11.59,Undervalued_growth_stocks
HLIT,Harmonic Inc.,11.91,-0.09,-0.75%,1.041M,1.458M,1.388B,19.52,Undervalued_growth_stocks
HMC,"Honda Motor Co., Ltd.",32.59,0.41,1.27%,"5,03,865","8,28,001",52.384B,7.78,Undervalued_growth_stocks
HMY,Harmony Gold Mining Company Limited,9.62,-0.39,-3.90%,5.269M,4.21M,6.334B,12.18,Top_Losers
HNHPF,"Hon Hai Precision Industry Co., Ltd.",13.39,-0.45,-3.25%,"43,385","1,44,780",92.987B,20.29,Top_Losers
HOOD,"Robinhood Markets, Inc.",22.28,0.24,1.09%,10.167M,17.055M,19.58B,159.14,Most_active
